0.0000000000,0.0000000000,0.0000000000
0.0000913376,0.0000632359,0.0000097540
0.0000278498,0.0000546882,0.0000957507
0.0000964889,0.0000157613,0.0000970593
0.0000957167,0.0000485376,0.0000800280
0.0000141886,0.0000421761,0.0000915736
0.0000792207,0.0000959492,0.0000655741
0.0000035712,0.0000849129,0.0000933993
0.0000678735,0.0000757740,0.0000743132
0.0000392227,0.0000655478,0.0000171187
0.0000706046,0.0000031833,0.0000276923
0.0000046171,0.0000097132,0.0000823458
0.0000694829,0.0000317099,0.0000950222
0.0000034446,0.0000438744,0.0000381558
0.0000765517,0.0000795200,0.0000186873
0.0000489764,0.0000445586,0.0000646313
0.0000709365,0.0000754687,0.0000276025
0.0000679703,0.0000655098,0.0000162612
0.0000118998,0.0000498364,0.0000959744
0.0000340386,0.0000585268,0.0000223812
0.0000751267,0.0000255095,0.0000505957
0.0000699077,0.0000890903,0.0000959291
0.0000547216,0.0000138624,0.0000149294
0.0000257508,0.0000840717,0.0000254282
0.0000814285,0.0000243525,0.0000929264
0.0000349984,0.0000196595,0.0000251084
0.0000616045,0.0000473289,0.0000351660
0.0000830829,0.0000585264,0.0000549724
0.0000917194,0.0000285839,0.0000757200
0.0000753729,0.0000380446,0.0000567822
0.0000075854,0.0000053950,0.0000530798
0.0000779167,0.0000934011,0.0000129906
0.0000568824,0.0000469391,0.0000011902
0.0000337123,0.0000162182,0.0000794285
0.0000311215,0.0000528533,0.0000165649
0.0000601982,0.0000262971,0.0000654079
0.0000689215,0.0000748152,0.0000450542
0.0000083821,0.0000228977,0.0000913337
0.0000152378,0.0000825817,0.0000538342
0.0000996135,0.0000078176,0.0000442678
0.0000106653,0.0000961898,0.0000004634
0.0000774910,0.0000817303,0.0000868695
0.0000084436,0.0000399783,0.0000259870
0.0000800068,0.0000431414,0.0000910648
0.0000181847,0.0000263803,0.0000145539
0.0000136069,0.0000869292,0.0000579705
0.0000549860,0.0000144955,0.0000853031
0.0000622055,0.0000350952,0.0000513250
0.0000401808,0.0000075967,0.0000239916
0.0000123319,0.0000183908,0.0000239953
0.0000417267,0.0000049654,0.0000902716
0.0000944787,0.0000490864,0.0000489253
0.0000337719,0.0000900054,0.0000369247
0.0000111203,0.0000780252,0.0000389739
0.0000241691,0.0000403912,0.0000096455
0.0000131973,0.0000942051,0.0000956135
0.0000575209,0.0000059780,0.0000234780
0.0000353159,0.0000821194,0.0000015403
0.0000043024,0.0000168990,0.0000649115
0.0000731722,0.0000647746,0.0000450924
0.0000547009,0.0000296321,0.0000744693
0.0000188955,0.0000686775,0.0000183511
0.0000368485,0.0000625619,0.0000780227
